tripduration,usertype
18.28424242,member
28.55625,member
-36.04519231,member
33.05301205,member
6.324262537,member
34.40512821,member
-34.47936508,member
26,member
22.35007342,member
30.08630952,member
27.67240991,member
58.66715686,member
32.87860825,member
34.20699405,member
26.59146006,member
27.86833333,member
12.35550847,member
38.93387446,member
37.30377778,member
42.59640523,member
36.4349537,member
26.63028846,member
29.70555556,member
68.01818182,member
58.39305556,member
34.20083056,member
25.73624709,member
58.43754045,member
46.78468468,member
16.69090909,member
31.15,member
49.72708333,member
35.50621469,member
106.9708333,member
-1.636111111,member
48.85726496,member
54.53571429,member
59.425,member
142.2388889,member
17.14245542,member
27.77714286,member
10.57395833,member
53.2125,member
32.65903955,member
30.41919192,member
29.61448718,member
66.41190476,member
37.75930736,member
32.30466667,member
39.69861111,member
52.21696429,member
85.35952381,member
42.02920228,member
72.45277778,member
2.240833333,member
11.31266892,member
19.91780822,member
24.98468137,member
33.77467105,member
26.40526919,member
33.51287879,member
34.17661692,member
26.91010101,member
44.80486726,member
23.74591837,member
18.19987923,member
27.19650127,member
38.45175439,member
30.87857143,member
47.590625,member
25.71547619,member
24.51159844,member
34.30077736,member
22.0886511,member
23.66444788,member
22.32001812,member
30.15112821,member
30.01318083,member
55.38777778,member
42.436629,member
2.239012346,member
43.62907407,member
-45.02566038,member
32.7821205,member
42.24470899,member
-73.20277778,member
-18.44111111,member
49.56666667,member
-0.857907543,member
36.51666667,member
38.38666667,member
15.71955556,member
49.80407125,member
43.15952381,member
22.35907298,member
-27.69191919,member
30.27258065,member
16.85547786,member
29.06147379,member
27.71027997,member
23.65949178,member
14.14607843,member
47.08333333,member
9.847093023,member
14.22267574,member
12.95581395,member
9.700813008,member
-4.980041152,member
25.82458522,member
40.81666667,member
18.83333333,member
11.07361111,member
2.486329588,member
15.53583333,member
194.1966667,member
48.45897436,member
11.86666667,member
24.45833333,member
8.124774775,member
-70.52884615,member
44.91111111,member
-565.57,member
10.93166667,member
13.32352941,member
8.533680556,member
-5.863926941,member
13.68075117,member
7.203753754,member
8.55,member
9.884150327,member
-13.56403509,member
12.18025362,member
22.27333333,member
14.00277778,member
-3.631896552,member
9.881666667,member
111.4,member
13.12857143,member
12.46666667,member
10.96666667,member
5.526190476,member
-31.734375,member
12.01538462,member
25.8,member
10.1,member
12.01070175,member
9.483333333,member
29.37222222,member
13.80758929,member
-56.13240741,member
5.486666667,member
-1.052840909,member
8.475,member
19.62352941,member
10.99146465,member
14.79260204,member
13.12777778,member
3.062555556,member
24.87881356,member
-12.00344828,member
-0.872126437,member
20.20803571,member
3.485308057,member
12.32688679,member
28.54564565,member
14.92261905,member
16.84263889,member
92.59444444,member
26.33333333,member
33.38695652,member
5.383333333,member
15.50208333,member
11.39259259,member
11.48333333,member
14.16666667,member
-21.39958333,member
10.59924242,member
4.049679487,member
17.94909091,member
20.22166667,member
8.322340426,member
15.74933333,member
-11.01161348,member
13.86931818,member
22.15906433,member
5.277777778,member
16.47888889,member
32.01969697,member
7.42311828,member
14.51111111,member
10.78333333,member
20.38888889,member
23.7,member
30.70512821,member
13.82708333,member
13.98205128,member
38.15833333,member
-2.739029536,member
11.55736961,member
13.74259259,member
8.461458333,member
10.2693408,member
10.41484245,member
12.57481884,member
29.83297101,member
6.566666667,member
8.67987988,member
15.88571429,member
13.92916667,member
8.153333333,member
101.15,member
5.35,member
9.272222222,member
11.01269841,member
16.7852381,member
-56.27142857,member
33.3804878,member
12.83141026,member
9.613636364,member
684.7833333,member
24.67083333,member
11.42931034,member
7.022357724,member
-11.68235294,member
11.24761905,member
10.0525641,member
11.45797101,member
7.344444444,member
7.541666667,member
12.5047619,member
22.42962963,member
19.50881104,member
8.619791667,member
14.4925,member
-6.000625,member
17.36827957,member
17.81311475,member
14.58915033,member
13.3804,member
-4.27485119,member
12.11957187,member
8.538888889,member
6.255699482,member
0.513530135,member
11.77352941,member
-13.14645669,member
21.12789855,member
16.78229167,member
6.023908046,member
5.519711538,member
18.64671848,member
8.308080808,member
-18.53300654,member
12.43564189,member
18.44233333,member
16.36718427,member
10.68287037,member
15.92283951,member
10.02063492,member
10.54543379,member
10.41096939,member
7.557283465,member
10.41238095,member
11.8120915,member
10.51208848,member
2.791176471,member
11.30755952,member
-153.9703704,member
10.93089431,member
8.375373134,member
3.864853556,member
-58.47380952,member
14.9,member
8.648888889,member
12.77564103,member
2.55,member
19.08596491,member
12.3586758,member
7.998717949,member
8.840666667,member
18.38452381,member
12.44444444,member
8.586666667,member
57.96666667,member
16.97777778,member
-28.15595238,member
5.917268041,member
5.916666667,member
12.35238095,member
57.56666667,member
11.66293532,member
12.52202381,member
13.51602564,member
11.72649813,member
11.61388889,member
14.25177305,member
10.25177305,member
13.66238739,member
9.625842697,member
10.57069892,member
18.35071429,member
-16.00272109,member
15.05555556,member
13.22294995,member
-52.19296296,member
12.110199,member
10.12146465,member
10.87419355,member
37.16666667,member
24.9,member
10.40097087,member
13.5018622,member
-15.24776632,member
17.91570973,member
11.18,member
-18.33571429,member
17.78362069,member
12.44330357,member
5.068803419,member
12.41801075,member
8.175490196,member
12.50833333,member
12.37807018,member
12.71111111,member
16.26666667,member
8.763888889,member
-47.01136364,member
16.41785714,member
19.77809524,member
2.816666667,member
26.97397163,member
24.30775194,member
5.611832061,member
24.39761905,member
22.55549383,member
23.775,member
-33.8452381,member
23.5,member
14.5877193,member
21.2,member
-3.153070175,member
22.03333333,member
25.86666667,member
67.9,member
8.729901961,member
11.97974684,member
4.011231884,member
7.575646552,member
7.809469697,member
7.163888889,member
13.92083333,member
10.19166667,member
11.11323529,member
11.59487179,member
12.19242424,member
14.3254902,member
17.69861111,member
10.62894737,member
18.76611111,member
4.383333333,member
-25.57666667,member
24.32006472,member
-0.336723164,member
10.92916667,member
8.833333333,member
12.49722222,member
16.65766423,member
20.26788321,member
12.31210046,member
48.28333333,member
4.35,member
12.81666667,member
10.8004065,member
14.11666667,member
5.1390625,member
8.162962963,member
0.814814815,member
10.6722973,member
-29.27549467,member
3.779357022,member
11.52882448,member
4.738541667,member
10.0879845,member
4.583333333,member
12.33468468,member
11.28222222,member
8.817076503,member
12.42128514,member
0.044123314,member
6.626530612,member
52.22166667,member
16.00833333,member
25.94444444,member
10.98583333,member
15.15,member
13.51666667,member
-8.288768116,member
12.2875,member
12.92634409,member
11.76538462,member
7.8,member
28.76666667,member
88.9,member
9.108333333,member
